"","Points","1 Year Survival","2 Year Survival","5 Year Survival","8 Year Survival","Median Survival"
"1",0,0.95,0.88,0.67,0.46,7.82
"2",1,0.95,0.88,0.67,0.46,7.82
"3",2,0.95,0.88,0.67,0.46,7.82
"4",3,0.95,0.88,0.67,0.46,7.82
"5",4,0.95,0.88,0.67,0.46,7.82
"6",5,0.95,0.88,0.67,0.46,7.82
"7",6,0.95,0.88,0.67,0.46,7.82
"8",7,0.95,0.88,0.67,0.46,7.82
"9",8,0.95,0.88,0.67,0.46,7.82
"10",9,0.95,0.88,0.67,0.46,7.82
"11",10,0.95,0.88,0.67,0.46,7.82
"12",11,0.95,0.88,0.67,0.46,7.82
"13",12,0.95,0.88,0.67,0.46,7.82
"14",13,0.95,0.88,0.67,0.46,7.82
"15",14,0.95,0.88,0.67,0.46,7.82
"16",15,0.95,0.88,0.67,0.46,7.82
"17",16,0.95,0.88,0.67,0.46,7.82
"18",17,0.95,0.88,0.67,0.46,7.82
"19",18,0.95,0.88,0.67,0.46,7.82
"20",19,0.95,0.88,0.67,0.46,7.82
"21",20,0.95,0.88,0.67,0.46,7.8
"22",21,0.95,0.88,0.67,0.46,7.65
"23",22,0.95,0.88,0.67,0.45,7.48
"24",23,0.95,0.88,0.66,0.45,7.44
"25",24,0.95,0.88,0.66,0.44,7.42
"26",25,0.95,0.87,0.65,0.43,7.39
"27",26,0.95,0.87,0.65,0.43,7.36
"28",27,0.95,0.87,0.64,0.42,7.2
"29",28,0.95,0.87,0.64,0.41,7.15
"30",29,0.95,0.87,0.63,0.41,7.07
"31",30,0.95,0.86,0.63,0.4,7
"32",31,0.95,0.86,0.62,0.4,6.95
"33",32,0.95,0.86,0.62,0.39,6.92
"34",33,0.95,0.86,0.61,0.38,6.81
"35",34,0.95,0.86,0.61,0.38,6.75
"36",35,0.95,0.85,0.6,0.37,6.66
"37",36,0.95,0.85,0.6,0.37,6.53
"38",37,0.95,0.85,0.59,0.36,6.38
"39",38,0.94,0.85,0.59,0.35,6.26
"40",39,0.94,0.84,0.58,0.35,6.22
"41",40,0.94,0.84,0.58,0.34,6.13
"42",41,0.94,0.84,0.57,0.33,6.08
"43",42,0.94,0.84,0.57,0.33,6.02
"44",43,0.94,0.83,0.56,0.32,5.97
"45",44,0.94,0.83,0.56,0.32,5.89
"46",45,0.94,0.83,0.55,0.31,5.78
"47",46,0.94,0.83,0.54,0.3,5.71
"48",47,0.94,0.82,0.54,0.3,5.53
"49",48,0.93,0.82,0.53,0.29,5.44
"50",49,0.93,0.82,0.53,0.29,5.33
"51",50,0.93,0.81,0.52,0.28,5.27
"52",51,0.93,0.81,0.52,0.27,5.17
"53",52,0.93,0.81,0.51,0.27,5.15
"54",53,0.93,0.81,0.5,0.26,5.08
"55",54,0.93,0.8,0.5,0.26,5
"56",55,0.93,0.8,0.49,0.25,4.84
"57",56,0.93,0.8,0.49,0.24,4.82
"58",57,0.92,0.79,0.48,0.24,4.76
"59",58,0.92,0.79,0.48,0.23,4.7
"60",59,0.92,0.79,0.47,0.23,4.68
"61",60,0.92,0.79,0.46,0.22,4.66
"62",61,0.92,0.78,0.46,0.22,4.62
"63",62,0.92,0.78,0.45,0.21,4.6
"64",63,0.92,0.78,0.45,0.21,4.55
"65",64,0.92,0.77,0.44,0.2,4.53
"66",65,0.91,0.77,0.43,0.19,4.42
"67",66,0.91,0.77,0.43,0.19,4.34
"68",67,0.91,0.76,0.42,0.18,4.28
"69",68,0.91,0.76,0.42,0.18,4.23
"70",69,0.91,0.75,0.41,0.17,4.19
"71",70,0.91,0.75,0.4,0.17,4.16
"72",71,0.91,0.75,0.4,0.16,4.14
"73",72,0.9,0.74,0.39,0.16,4.07
"74",73,0.9,0.74,0.38,0.15,3.94
"75",74,0.9,0.74,0.38,0.15,3.9
"76",75,0.9,0.73,0.37,0.14,3.82
"77",76,0.9,0.73,0.37,0.14,3.8
"78",77,0.9,0.72,0.36,0.14,3.76
"79",78,0.89,0.72,0.35,0.13,3.7
"80",79,0.89,0.72,0.35,0.13,3.68
"81",80,0.89,0.71,0.34,0.12,3.63
"82",81,0.89,0.71,0.34,0.12,3.59
"83",82,0.89,0.7,0.33,0.11,3.51
"84",83,0.89,0.7,0.32,0.11,3.45
"85",84,0.88,0.7,0.32,0.11,3.41
"86",85,0.88,0.69,0.31,0.1,3.36
